fonte,titulo,tipo_arquivo,url_download,status_code,ativo,tamanho_kb,content_type,erro,verificado_em
ABDI,Execução Orçamentária - Ações - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Acoes_Retificado_2024.CSV,200.0,True,4.38,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Síntese da Despesa - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_x_Despesa_Retificado_2024.CSV,200.0,True,0.56,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Ações - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Acoes_2024.CSV,200.0,True,0.49,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Ações - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Acoes_2023.CSV,200.0,True,3.29,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Ações - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Acoes_2022.CSV,200.0,True,4.39,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução_Orcamentaria - Arrecadação - 2026,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Arrecadacao_2026.csv,200.0,True,0.31,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Arrecadação - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Arrecadacao_2025.CSV,200.0,True,0.61,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Arrecadação - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Arrecadacao_Mensal_Retificado_2024.CSV,200.0,True,0.49,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Arrecadação - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Arrecadacao_2024.CSV,200.0,True,1.38,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Arrecadação - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Arrecadacao_2023.CSV,200.0,True,1.23,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Arrecadação - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Arrecadacao_2022.CSV,200.0,True,1.27,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - 2026 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Despesas_2026.csv,200.0,True,2.03,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_2025.CSV,200.0,True,2.63,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_2024.CSV,200.0,True,5.66,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_2023.CSV,200.0,True,5.85,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_2022.CSV,200.0,True,5.36,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fluxo de Caixa - 2026 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Fluxo_de_Caixa_2026.csv,200.0,True,0.96,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fluxo de Caixa - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fluxo_de_Caixa_2025.csv,200.0,True,2.76,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fluxo de Caixa - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fluxo_de_Caixa_Retificado_2024.CSV,200.0,True,2.52,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fluxo de Caixa - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fluxo_de_Caixa_2024.CSV,200.0,True,5.19,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fluxo de Caixa - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fluxo_de_Caixa_2023.CSV,200.0,True,4.82,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fluxo de Caixa - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fluxo_de_Caixa_2022.CSV,200.0,True,3.24,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fontes de Recursos - 2026 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Fontes_de_Recursos_2026.csv,200.0,True,0.78,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fontes de Recursos - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fontes_de_Recursos_2025.CSV,200.0,True,0.64,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fontes de Recursos - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fontes_de_Recursos_Retificado_2024.CSV,200.0,True,0.56,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fontes de Recursos - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fontes_de_Recursos_2024.CSV,200.0,True,1.0,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fontes de Recursos - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fontes_de_Recursos_2023.CSV,200.0,True,0.86,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Fontes de Recursos - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Fontes_de_Recursos_2022.CSV,200.0,True,0.98,application/octet-stream,,2026-07-21 09:47:27
